SYO345^5.p	casc	Theorem	12273	Theorem	13531	Theorem	17412	Theorem	54453	Theorem	4798385
SYO346^5.p	casc	Theorem	15904	Theorem	12062	Theorem	18186	Theorem	63427	Theorem	4992396
SYO349^5.p	casc	Theorem	17093	Theorem	14847	Theorem	15273	Theorem	27684	Theorem	4997891
SYO365^5.p	casc	Theorem	13525	Theorem	12607	Theorem	17911	Theorem	2011446	Theorem	4989296
SYO366^5.p	casc	Theorem	14481	Theorem	17465	Theorem	15293	Theorem	28311	Theorem	5010715
SYO367^5.p	casc	Theorem	16729	Theorem	17358	Theorem	15160	Theorem	30971	Theorem	4983676
SYO368^5.p	casc	Theorem	13690	Theorem	17422	Theorem	17558	Theorem	29990	Theorem	5049083
SYO369^5.p	casc	Theorem	15659	Theorem	17334	Theorem	16397	Theorem	27766	Theorem	5044753
SYO390^5.p	casc	Theorem	11751	Theorem	12118	Theorem	15008	Theorem	27621	Theorem	4981450
SYO499^1.p	casc	Theorem	19763	Theorem	17280	Theorem	21176	Theorem	89655	Theorem	5796289
SYO500^1.002.p	casc	Theorem	16546	Theorem	18144	Theorem	19248	Unknown	60433572	Theorem	4952573
SYO500^1.003.p	casc	Theorem	28640	Theorem	23076	Theorem	20720	Unknown	61114528	Theorem	4992895
SYO500^1.004.p	casc	Theorem	34250	Theorem	22134	Theorem	22892	Unknown	61455402	Theorem	4998574
SYO500^1.005.p	casc	Theorem	35343	Theorem	30153	Theorem	27145	Unknown	60726659	Theorem	5023338
SYO500^1.006.p	casc	Theorem	42953	Theorem	37069	Theorem	32237	Unknown	60279895	Theorem	5021722
SYO500^1.007.p	casc	Theorem	69815	Theorem	59093	Theorem	34344	Timeout	62319314	Theorem	5027130
SYO500^1.008.p	casc	Theorem	128741	Theorem	116039	Theorem	41873	Unknown	61369887	Theorem	4997816
SYO500^1.p	casc	Theorem	15618	Theorem	17938	Theorem	14171	Theorem	87251	Theorem	5023489
SYO501^1.p	casc	Theorem	14046	Theorem	16147	Theorem	15444	Theorem	29194	Theorem	4649573
SYO506^1.p	casc	Theorem	19025	Theorem	15693	Theorem	257073	Theorem	260612	Theorem	4863671
